gene	Origin	cc_ischia_10	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNK3	Pancreas	CC9	726	25	3.4435261707989	0.0371900826446281	1.08	1	1.08
KCNK3	Pancreas	CC10	1	1	100	2	2	2	2
KCNK6	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNK6	Normal Pancreas	CC2	53	2	3.77358490566038	0.0377358490566038	1	1	1
KCNK6	Normal Pancreas	CC3	36	2	5.55555555555556	0.0555555555555556	1	1	1
KCNK6	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNK6	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNK6	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK6	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCNK6	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK6	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
