target_gene	partner_gene	n_sections_tested	n_sections_positive_z	median_local_corr_z	max_local_corr_z	min_local_corr_z
SIGMAR1	KCNQ4	10	9	0.963529795036784	2.2186651282575878	-0.04394618310829432
SIGMAR1	KCNMB4	10	8	1.1012244168994376	2.9774552647317827	-1.3161127803067856
SIGMAR1	IGHM	10	8	0.9374822627097267	3.4161512474090547	-3.3210447314706957
SIGMAR1	KCNJ16	10	8	0.5884391744448166	2.7536891800559906	-0.4025258557307412
SIGMAR1	KCNK15	10	8	0.25484219779461637	0.9614616262220371	-0.17439347453009416
SIGMAR1	APOD	7	7	1.3237730847587568	1.9243445241015835	0.6155733816248504
SIGMAR1	KCNN4	10	7	0.9721115645646017	2.0550500752461094	-2.2983525083509697
SIGMAR1	KCNJ15	10	7	0.962370674337413	3.0205310495482567	-2.5735299713847812
SIGMAR1	TSPAN8	8	7	0.7778515566524855	2.945697472623809	-0.5132136263665866
SIGMAR1	C7	10	7	0.6710603299843962	4.1452551646949	-3.878216663732067
SIGMAR1	CCL21	8	7	0.6019735829156078	1.9767706176445983	-3.505094861239652
SIGMAR1	GCG	7	7	0.5994577766980912	2.2990389582413018	0.039651315294039834
SIGMAR1	IGHA1	9	7	0.5874178014700172	3.3932001969761663	-4.037495040145171
SIGMAR1	KCNAB1	10	7	0.5681220175506783	2.366437607350494	-1.4555629488175548
SIGMAR1	KCND3	10	7	0.5010431103297208	2.701977775343966	-4.141347237277872
SIGMAR1	IGLC1	10	7	0.49058279224959217	3.069959915812074	-0.8483869338243197
SIGMAR1	KCNK3	10	7	0.39422433321250633	2.3049506816206926	-1.5509459841230464
SIGMAR1	CST1	7	6	1.6168828428428654	2.9135171876993713	-1.2336169740052076
SIGMAR1	MGP	7	6	1.2842047575423376	5.22399149612358	-3.850647942888893
SIGMAR1	IGLV3-1	8	6	1.0950307036702627	4.392867701431792	-2.61927711835858
SIGMAR1	LCN2	10	6	0.9983920234808885	3.7252100783842215	-1.3581520390969288
SIGMAR1	IGKV4-1	9	6	0.7172540894802667	3.7926849598754537	-2.5353135895153884
SIGMAR1	EPHA2	6	6	0.6121640909999644	4.859555569459891	0.1972980668089875
SIGMAR1	CTSE	8	6	0.5939526367615888	2.2326179332943	-0.4668870277728484
SIGMAR1	ITGB4	9	6	0.5870979989884678	4.955387053517756	-2.210360545417027
SIGMAR1	MUC1	8	6	0.5819175022159935	3.4709214197031266	-0.6124721455040991
SIGMAR1	IGHG1	9	6	0.5582691297076939	3.0677349612567	-2.0510475783905835
SIGMAR1	IGFBP5	8	6	0.5132788861683463	1.9592405720440456	-0.8215864820474928
SIGMAR1	KCNK17	10	6	0.49410984797735724	2.4818840737966337	-0.8588328250491959
SIGMAR1	KCNMB1	10	6	0.4618679538710986	2.18102496283744	-2.11241272584924
SIGMAR1	ELF3	10	6	0.41894604798861856	4.110349222590509	-1.7483908210481303
SIGMAR1	WFDC2	8	6	0.403387944642085	4.8359778856737154	-1.5889472555047486
SIGMAR1	KCNA5	9	6	0.3765144705939933	1.8637518818970027	-1.1680671867925472
SIGMAR1	SPINT2	7	6	0.3172892193331041	3.838758468646775	-0.7945698554859131
SIGMAR1	KCNC4	10	6	0.22841444781471804	2.1318223397124796	-0.461772643711179
SIGMAR1	FXYD3	8	6	0.19568902262072246	4.889165918580495	-0.9639259594349627
SIGMAR1	C19orf33	10	6	0.18895096797306493	4.9714722091756585	-1.5877059939487346
