target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR
SIGMAR1	IU_PDA_T1	3530	13524	1146	424	0.000744375374158454	0.1433370381582649	0.6078212768513966
SIGMAR1	IU_PDA_T10	2714	13635	1219	425	0.0025474035852386047	0.4468400604637948	0.5183884416002359
SIGMAR1	IU_PDA_T11	2777	14686	2801	423	0.002628949769888319	0.5031501725702439	0.43919865462976554
SIGMAR1	IU_PDA_T12	3642	15208	6564	425	0.014079303144220867	3.1866309564029547	0.0024971985052298397
SIGMAR1	IU_PDA_T2	4118	14706	1882	424	0.006735969244634794	1.5549361173175018	0.2430629167922094
SIGMAR1	IU_PDA_T3	4354	14668	5788	424	0.005508706822573189	1.3575515227720698	0.16678310168707167
SIGMAR1	IU_PDA_T4	3621	14334	4313	425	0.008393554663232241	1.8937412120702237	0.08349227992877159
SIGMAR1	IU_PDA_T6	3397	15000	5374	421	0.005244640322069102	1.1614166833707085	0.20437873632171458
SIGMAR1	IU_PDA_T8	3779	14218	2406	422	0.00398709544203781	0.8049414392040368	0.36430966244222884
SIGMAR1	IU_PDA_T9	3526	14113	2020	424	-0.003976377691765361	-0.87467044136098	0.8605243562581454
